state_code,state_name,gdp_total,gdp_millions,year
AL,Alabama,321237600000.0,321237.6,2024
AK,Alaska,69969000000.0,69969.0,2024
AZ,Arizona,552167000000.0,552167.0,2024
AR,Arkansas,188723100000.0,188723.1,2024
CA,California,4103123600000.0,4103123.6,2024
CO,Colorado,553322500000.0,553322.5,2024
CT,Connecticut,365723100000.0,365723.1,2024
DE,Delaware,103253300000.0,103253.3,2024
DC,District of Columbia,186165000000.0,186165.0,2024
FL,Florida,1705564900000.0,1705564.9,2024
GA,Georgia,882534500000.0,882534.5,2024
HI,Hawaii,115627200000.0,115627.2,2024
ID,Idaho,128132100000.0,128132.1,2024
IL,Illinois,1137243600000.0,1137243.6,2024
IN,Indiana,527381100000.0,527381.1,2024
IA,Iowa,257020800000.0,257020.8,2024
KS,Kansas,234673200000.0,234673.2,2024
KY,Kentucky,293021000000.0,293021.0,2024
LA,Louisiana,327782100000.0,327782.1,2024
ME,Maine,98606000000.0,98606.0,2024
MD,Maryland,542765800000.00006,542765.8,2024
MA,Massachusetts,780666200000.0,780666.2,2024
MI,Michigan,706615800000.0,706615.8,2024
MN,Minnesota,500851400000.0,500851.4,2024
MS,Mississippi,157491000000.0,157491.0,2024
MO,Missouri,451201400000.0,451201.4,2024
MT,Montana,75999200000.0,75999.2,2024
NE,Nebraska,185411000000.0,185411.0,2024
NV,Nevada,260728400000.0,260728.4,2024
NH,New Hampshire,121189400000.0,121189.4,2024
NJ,New Jersey,846587500000.0,846587.5,2024
NM,New Mexico,140542000000.0,140542.0,2024
NY,New York,2297028000000.0,2297028.0,2024
NC,North Carolina,839122200000.0,839122.2,2024
ND,North Dakota,75399400000.0,75399.4,2024
OH,Ohio,927740100000.0,927740.1,2024
OK,Oklahoma,265779099999.99997,265779.1,2024
OR,Oregon,331028600000.0,331028.6,2024
PA,Pennsylvania,1024206300000.0,1024206.3,2024
RI,Rhode Island,82492500000.0,82492.5,2024
SC,South Carolina,349965400000.0,349965.4,2024
SD,South Dakota,75179500000.0,75179.5,2024
TN,Tennessee,549708500000.0,549708.5,2024
TX,Texas,2709392900000.0,2709392.9,2024
UT,Utah,300903800000.0,300903.8,2024
VT,Vermont,45707200000.0,45707.2,2024
VA,Virginia,764474800000.0,764474.8,2024
WA,Washington,854683300000.0,854683.3,2024
WV,West Virginia,107660100000.0,107660.1,2024
WI,Wisconsin,451285300000.0,451285.3,2024
WY,Wyoming,52946100000.0,52946.1,2024
